"";"age";"job";"marital";"education";"default";"balance";"housing";"loan";"day";"duration";"campaign";"pdays";"previous";"poutcome";"complete"
"84";59;"admin.";"married";"secondary";"no";2343;"yes";"no";5;1042;1;-1;0;"unknown";"yes"
"88";41;"technician";"married";"secondary";"no";1270;"yes";"no";5;1389;1;-1;0;"unknown";"yes"
"130";55;"services";"married";"secondary";"no";2476;"yes";"no";5;579;1;-1;0;"unknown";"yes"
"169";54;"admin.";"married";"tertiary";"no";184;"no";"no";5;673;2;-1;0;"unknown";"yes"
"389";56;"management";"married";"tertiary";"no";830;"yes";"yes";6;1201;1;-1;0;"unknown";"yes"
"391";60;"retired";"single";"secondary";"no";545;"yes";"no";6;1030;1;-1;0;"unknown";"yes"
"475";34;"admin.";"married";"secondary";"no";869;"no";"no";6;1677;1;-1;0;"unknown";"yes"
"513";55;"unemployed";"single";"secondary";"no";387;"yes";"no";6;918;1;-1;0;"unknown";"yes"
"570";28;"services";"single";"secondary";"no";5090;"yes";"no";6;1297;3;-1;0;"unknown";"yes"
"625";30;"technician";"married";"secondary";"no";484;"yes";"no";6;703;1;-1;0;"unknown";"yes"
"695";36;"technician";"married";"secondary";"no";368;"yes";"yes";6;1597;2;-1;0;"unknown";"yes"
"850";37;"admin.";"single";"secondary";"no";245;"yes";"yes";7;732;2;-1;0;"unknown";"yes"
"878";45;"blue-collar";"married";"secondary";"no";154;"yes";"no";7;1138;1;-1;0;"unknown";"yes"
"1088";30;"blue-collar";"married";"secondary";"no";309;"yes";"no";7;1574;2;-1;0;"unknown";"yes"
"1125";29;"management";"married";"tertiary";"no";199;"yes";"yes";7;1689;4;-1;0;"unknown";"yes"
"1141";46;"blue-collar";"single";"tertiary";"no";460;"yes";"no";7;1102;2;-1;0;"unknown";"yes"
"1173";31;"technician";"single";"tertiary";"no";703;"yes";"no";8;943;2;-1;0;"unknown";"yes"
"1194";35;"management";"single";"tertiary";"no";3837;"yes";"no";8;1084;1;-1;0;"unknown";"yes"
"1201";32;"blue-collar";"single";"primary";"no";611;"yes";"no";8;541;3;-1;0;"unknown";"yes"
"1341";49;"admin.";"single";"secondary";"no";168;"yes";"yes";8;513;1;-1;0;"unknown";"yes"
"1371";28;"admin.";"single";"secondary";"no";785;"yes";"no";8;442;2;-1;0;"unknown";"yes"
"1373";43;"management";"single";"tertiary";"no";2067;"yes";"no";8;756;1;-1;0;"unknown";"yes"
"1417";43;"management";"single";"tertiary";"no";388;"yes";"no";8;2087;2;-1;0;"unknown";"yes"
"1521";37;"unemployed";"single";"secondary";"no";381;"yes";"no";8;985;2;-1;0;"unknown";"yes"
"1672";46;"technician";"married";"secondary";"no";332;"yes";"no";9;772;1;-1;0;"unknown";"yes"
"1689";31;"admin.";"married";"secondary";"no";307;"yes";"no";9;538;1;-1;0;"unknown";"yes"
"1692";28;"blue-collar";"single";"secondary";"no";759;"yes";"no";9;710;1;-1;0;"unknown";"yes"
"1864";33;"blue-collar";"single";"primary";"no";390;"yes";"no";9;665;2;-1;0;"unknown";"yes"
"2054";45;"blue-collar";"married";"primary";"no";101;"yes";"no";12;460;5;-1;0;"unknown";"yes"
"2097";32;"management";"single";"tertiary";"no";311;"no";"no";12;757;2;-1;0;"unknown";"yes"
"2329";35;"blue-collar";"married";"primary";"no";414;"no";"no";13;504;4;-1;0;"unknown";"yes"
"2378";38;"management";"married";"tertiary";"no";119;"yes";"no";13;568;4;-1;0;"unknown";"yes"
"2405";34;"blue-collar";"single";"secondary";"no";383;"yes";"no";13;2231;1;-1;0;"unknown";"yes"
"2484";60;"blue-collar";"married";"primary";"no";1262;"yes";"yes";13;1015;1;-1;0;"unknown";"yes"
"2486";48;"management";"married";"tertiary";"no";1949;"yes";"no";13;683;2;-1;0;"unknown";"yes"
"2508";36;"blue-collar";"married";"secondary";"no";1165;"yes";"no";13;1001;4;-1;0;"unknown";"yes"
"2546";37;"entrepreneur";"single";"secondary";"no";175;"yes";"yes";13;753;6;-1;0;"unknown";"yes"
"2651";46;"blue-collar";"married";"primary";"no";369;"yes";"no";13;916;2;-1;0;"unknown";"yes"
"2710";35;"blue-collar";"single";"primary";"no";300;"yes";"no";13;945;2;-1;0;"unknown";"yes"
"2721";43;"technician";"married";"secondary";"no";3285;"yes";"no";13;1721;2;-1;0;"unknown";"yes"
"2768";52;"housemaid";"married";"secondary";"no";3923;"yes";"no";14;942;3;-1;0;"unknown";"yes"
"2780";53;"technician";"single";"primary";"no";1443;"yes";"no";14;476;1;-1;0;"unknown";"yes"
"2822";41;"blue-collar";"single";"primary";"no";1618;"yes";"no";14;1553;1;-1;0;"unknown";"yes"
"2832";39;"management";"single";"tertiary";"no";517;"yes";"yes";14;1328;1;-1;0;"unknown";"yes"
"2846";59;"retired";"married";"secondary";"no";1521;"yes";"yes";14;1125;2;-1;0;"unknown";"yes"
